sampleid,renamed_for_phys,Species,Age
5135,5135,Squirrel_monkey,Adult
5139,5139,Squirrel_monkey,Adult
5140,5140,Squirrel_monkey,Adult
5141,5141,Squirrel_monkey,Adult
5188,188,Macaque,Adult
5189,189,Macaque,Adult
5201,5201,Squirrel_monkey,Adult
5202,5202,Squirrel_monkey,Adult
5203,5203,Squirrel_monkey,Adult
5204,5204,Squirrel_monkey,Adult
5316,5136,Squirrel_monkey,Adult
5401,401,Macaque,Adult
5403,403,Macaque,Adult
5404,404,Macaque,Adult
5406,406,Macaque,Adult
5407,407,Macaque,Adult
5408,408,Macaque,Adult
590,590,Human,Adult
874,874,Human,Adult
908,908,Human,Adult
917,917,Human,Adult
918,918,Human,Adult
921,921,Human,Adult
922,922,Human,Adult
923,923,Human,Adult
984,984,Human,Adult